main_artist_id,collab_artist_id,frequency
1Xyo4u8uXC1ZmMpatF05PJ,00FQb4jTyendYWaN8pK0wa,3
1Xyo4u8uXC1ZmMpatF05PJ,1RyvyyTE3xzB2ZywiAwp0i,2
1Xyo4u8uXC1ZmMpatF05PJ,0UF7XLthtbSF2Eur7559oV,2
1Xyo4u8uXC1ZmMpatF05PJ,5gCRApTajqwbnHHPbr2Fpi,2
1Xyo4u8uXC1ZmMpatF05PJ,7c0XG5cIJTrrAgEC3ULPiq,1
1Xyo4u8uXC1ZmMpatF05PJ,137W8MRPWKqSmrBGDBFSop,1
1Xyo4u8uXC1ZmMpatF05PJ,0YinUQ50QDB7ZxSCLyQ40k,1
1Xyo4u8uXC1ZmMpatF05PJ,23fqKkggKUBHNkbKtXEls4,1
1Xyo4u8uXC1ZmMpatF05PJ,7rkW85dBwwrJtlHRDkJDAC,1
1Xyo4u8uXC1ZmMpatF05PJ,2YZyLoL8N0Wb9xBt1NhZWg,1
1Xyo4u8uXC1ZmMpatF05PJ,6eUKZXaKkcviH0Ku9w2n3V,1
1Xyo4u8uXC1ZmMpatF05PJ,0FOWNUFHPnMy0vOw1siGqi,1
1Xyo4u8uXC1ZmMpatF05PJ,6vWDO969PvNqNYHIOW5v0m,1
1Xyo4u8uXC1ZmMpatF05PJ,0Y5tJX1MQlPlqiwlOH1tJY,1
1Xyo4u8uXC1ZmMpatF05PJ,13y7CgLHjMVRMDqxdx0Xdo,1
1Xyo4u8uXC1ZmMpatF05PJ,2feDdbD5araYcm6JhFHHw7,1
1Xyo4u8uXC1ZmMpatF05PJ,1sBkRIssrMs1AbVkOJbc7a,1
5K4W6rqBFWDnAN6FQUkS6x,3nFkdlSjzX9mRTtwJOzDYB,24
5K4W6rqBFWDnAN6FQUkS6x,0c173mlxpT3dSFRgMO8XPh,8
5K4W6rqBFWDnAN6FQUkS6x,55Aa2cqylxrFIXC767Z865,7
5K4W6rqBFWDnAN6FQUkS6x,0ONHkAv9pCAFxb0zJwDNTy,6
5K4W6rqBFWDnAN6FQUkS6x,0fA0VVWsXO9YnASrzqfmYu,6
5K4W6rqBFWDnAN6FQUkS6x,7LnaAXbDVIL75IVPnndf7w,4
5K4W6rqBFWDnAN6FQUkS6x,1sBkRIssrMs1AbVkOJbc7a,4
5K4W6rqBFWDnAN6FQUkS6x,17lzZA2AlOHwCwFALHttmp,4
5K4W6rqBFWDnAN6FQUkS6x,1zV9UjTUevjp5VUddqIUUn,4
5K4W6rqBFWDnAN6FQUkS6x,5y2Xq6xcjJb2jVM54GHK3t,4
5K4W6rqBFWDnAN6FQUkS6x,2GHclqNVjqGuiE5mA7BEoc,4
5K4W6rqBFWDnAN6FQUkS6x,4STHEaNw4mPZ2tzheohgXB,3
5K4W6rqBFWDnAN6FQUkS6x,3TVXtAsR1Inumwj472S9r4,3
5K4W6rqBFWDnAN6FQUkS6x,2hZ6jVi1cao5VlJHAEPzU7,3
5K4W6rqBFWDnAN6FQUkS6x,5KkgZ31b9eDwkvo9oMIrSm,3
5K4W6rqBFWDnAN6FQUkS6x,7iMvwE8qANp3aIfAGKEAwS,3
5K4W6rqBFWDnAN6FQUkS6x,5pKCCKE2ajJHZ9KAiaK11H,2
5K4W6rqBFWDnAN6FQUkS6x,1lE6SEy8f84Zhjvp7r8yTD,2
5K4W6rqBFWDnAN6FQUkS6x,5esOg4joS5bpE6xBsMLcBi,2
5K4W6rqBFWDnAN6FQUkS6x,3aQeKQSyrW4qWr35idm0cy,2
5K4W6rqBFWDnAN6FQUkS6x,4LEiUm1SRbFMgfqnQTwUbQ,2
5K4W6rqBFWDnAN6FQUkS6x,7dGJo4pcD2V6oG8kP0tJRR,2
5K4W6rqBFWDnAN6FQUkS6x,01QTIT5P1pFP3QnnFSdsJf,2
5K4W6rqBFWDnAN6FQUkS6x,4yBK75WVCQXej1p04GWqxH,2
5K4W6rqBFWDnAN6FQUkS6x,2h93pZq0e7k5yf4dywlkpM,2
5K4W6rqBFWDnAN6FQUkS6x,6vbY3hOaCAhC7VjucswgdS,2
5K4W6rqBFWDnAN6FQUkS6x,4bYPcJP5jwMhSivRcqie2n,2
5K4W6rqBFWDnAN6FQUkS6x,6vWDO969PvNqNYHIOW5v0m,2
5K4W6rqBFWDnAN6FQUkS6x,0k7Xl1pqI3tu8sSEjo5oEg,2
5K4W6rqBFWDnAN6FQUkS6x,0Mz5XE0kb1GBnbLQm2VbcO,2
5K4W6rqBFWDnAN6FQUkS6x,5j4HeCoUlzhfWtjAfM1acR,2
5K4W6rqBFWDnAN6FQUkS6x,5T0MSzX9RC5NA6gAI6irSn,1
5K4W6rqBFWDnAN6FQUkS6x,7u6LfVyYpEzMpHLL7jTyvU,1
5K4W6rqBFWDnAN6FQUkS6x,0hCNtLu0JehylgoiP8L4Gh,1
5K4W6rqBFWDnAN6FQUkS6x,1W3FSF1BLpY3hlVIgvenLz,1
5K4W6rqBFWDnAN6FQUkS6x,2yQf6b8hxahZaT5dHlWaB1,1
5K4W6rqBFWDnAN6FQUkS6x,13y7CgLHjMVRMDqxdx0Xdo,1
5K4W6rqBFWDnAN6FQUkS6x,0Y5tJX1MQlPlqiwlOH1tJY,1
5K4W6rqBFWDnAN6FQUkS6x,6Ha4aES39QiVjR0L2lwuwq,1
5K4W6rqBFWDnAN6FQUkS6x,0VRj0yCOv2FXJNP47XQnx5,1
5K4W6rqBFWDnAN6FQUkS6x,7pFeBzX627ff0VnN6bxPR4,1
5K4W6rqBFWDnAN6FQUkS6x,60df5JBRRPcnSpsIMxxwQm,1
5K4W6rqBFWDnAN6FQUkS6x,6jJ0s89eD6GaHleKKya26X,1
5K4W6rqBFWDnAN6FQUkS6x,6GEykX11lQqp92UVOQQCC7,1
5K4W6rqBFWDnAN6FQUkS6x,63wjoROpeh5f11Qm93UiJ1,1
5K4W6rqBFWDnAN6FQUkS6x,21E3waRsmPlU7jZsS13rcj,1
5K4W6rqBFWDnAN6FQUkS6x,4V8LLVI7PbaPR0K2TGSxFF,1
5K4W6rqBFWDnAN6FQUkS6x,5IcR3N7QB1j6KBL8eImZ8m,1
5K4W6rqBFWDnAN6FQUkS6x,13ubrt8QOOCPljQ2FL1Kca,1
5K4W6rqBFWDnAN6FQUkS6x,2Dbnk0YRTPpKu46XzMf9nu,1
5K4W6rqBFWDnAN6FQUkS6x,18HVMQsV3tINaTyzT5UIjH,1
5K4W6rqBFWDnAN6FQUkS6x,2cADQgiLMjNhbsfeN52Bf3,1
5K4W6rqBFWDnAN6FQUkS6x,4iCwCMnqsNZ6atvRiADgtn,1
5K4W6rqBFWDnAN6FQUkS6x,1RyvyyTE3xzB2ZywiAwp0i,1
5K4W6rqBFWDnAN6FQUkS6x,1020a42xVklY6c56imNcaa,1
5K4W6rqBFWDnAN6FQUkS6x,4EMtGVFvfCSrEmWaGV0roE,1
5K4W6rqBFWDnAN6FQUkS6x,1tUALn7PEhW7LpMuxvat2x,1
5K4W6rqBFWDnAN6FQUkS6x,15iVAtD3s3FsQR4w1v6M0P,1
5K4W6rqBFWDnAN6FQUkS6x,5pnbUBPifNnlusY8kTBivi,1
5K4W6rqBFWDnAN6FQUkS6x,0hKpvarswO34Ks5iPNmEXn,1
5K4W6rqBFWDnAN6FQUkS6x,0lEssBAxQl2In4RpaB1C2Y,1
5K4W6rqBFWDnAN6FQUkS6x,20qISvAhX20dpIbOOzGK3q,1
5K4W6rqBFWDnAN6FQUkS6x,69m0yjx8ruKebsRvbNuEDz,1
5K4W6rqBFWDnAN6FQUkS6x,2Jwr7hGoSNK3S3QBxh3T0z,1
5K4W6rqBFWDnAN6FQUkS6x,7Cp14KBRtDwGucKNPUyT11,1
5K4W6rqBFWDnAN6FQUkS6x,1YfEcTuGvBQ8xSD1f53UnK,1
5K4W6rqBFWDnAN6FQUkS6x,3ZotbHeyVQKxQCPDJuQ4SU,1
5K4W6rqBFWDnAN6FQUkS6x,0bfX8pF8kuHNCs57Ms4jZb,1
5K4W6rqBFWDnAN6FQUkS6x,3ipn9JLAPI5GUEo4y4jcoi,1
5K4W6rqBFWDnAN6FQUkS6x,0NbfKEOTQCcwd6o7wSDOHI,1
5K4W6rqBFWDnAN6FQUkS6x,05oH07COxkXKIMt6mIPRee,1
5K4W6rqBFWDnAN6FQUkS6x,2RdwBSPQiwcmiDo9kixcl8,1
5K4W6rqBFWDnAN6FQUkS6x,7bXgB6jMjp9ATFy66eO08Z,1
5K4W6rqBFWDnAN6FQUkS6x,4OBJLual30L7gRl5UkeRcT,1
5K4W6rqBFWDnAN6FQUkS6x,0YWxKQj2Go9CGHCp77UOyy,1
5K4W6rqBFWDnAN6FQUkS6x,74V3dE1a51skRkdII8y2C6,1
5K4W6rqBFWDnAN6FQUkS6x,6w9oNSpsNuLOwu2XVbQPGK,1
5K4W6rqBFWDnAN6FQUkS6x,3fMbdgg4jU18AjLCKBhRSm,1
3Nrfpe0tUJi4K4DXYWgMUX,6sBiS0iWcCyMMgiYrEOxbt,1
1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi,4
1uNFoZAHBGtllmzznpCI3s,1anyVhU62p31KFi8MEzkbf,4
1uNFoZAHBGtllmzznpCI3s,540vIaP2JwjQb9dm3aArA4,3
1uNFoZAHBGtllmzznpCI3s,738wLrAtLtCtFOLvQBXOXp,3
1uNFoZAHBGtllmzznpCI3s,0bdfiayQAKewqEvaU6rXCv,3
1uNFoZAHBGtllmzznpCI3s,0c173mlxpT3dSFRgMO8XPh,3
1uNFoZAHBGtllmzznpCI3s,698hF4vcwHwPy8ltmXermq,3
1uNFoZAHBGtllmzznpCI3s,0QHgL1lAIqAw0HtD7YldmP,2
1uNFoZAHBGtllmzznpCI3s,0VRj0yCOv2FXJNP47XQnx5,2
1uNFoZAHBGtllmzznpCI3s,55Aa2cqylxrFIXC767Z865,2
1uNFoZAHBGtllmzznpCI3s,0hCNtLu0JehylgoiP8L4Gh,2
1uNFoZAHBGtllmzznpCI3s,7bXgB6jMjp9ATFy66eO08Z,2
1uNFoZAHBGtllmzznpCI3s,1Cs0zKBU1kc0i8ypK3B9ai,2
1uNFoZAHBGtllmzznpCI3s,0Y5tJX1MQlPlqiwlOH1tJY,2
1uNFoZAHBGtllmzznpCI3s,23zg3TcAtWQy7J6upgbUnj,2
1uNFoZAHBGtllmzznpCI3s,6S0dmVVn4udvppDhZIWxCr,1
1uNFoZAHBGtllmzznpCI3s,1HxJeLhIuegM3KgvPn8sTa,1
1uNFoZAHBGtllmzznpCI3s,5he5w2lnU9x7JFhnwcekXX,1
1uNFoZAHBGtllmzznpCI3s,5fMUXHkw8R8eOP2RNVYEZX,1
1uNFoZAHBGtllmzznpCI3s,4V8Sr092TqfHkfAA5fXXqG,1
1uNFoZAHBGtllmzznpCI3s,4VMYDCV2IEDYJArk749S6m,1
1uNFoZAHBGtllmzznpCI3s,1okJ4NC308qbtY9LyHn6DO,1
1uNFoZAHBGtllmzznpCI3s,0xOeVMOz2fVg5BJY3N6akT,1
1uNFoZAHBGtllmzznpCI3s,085pc2PYOi8bGKj0PNjekA,1
1uNFoZAHBGtllmzznpCI3s,50co4Is1HCEo8bhOyUWKpn,1
1uNFoZAHBGtllmzznpCI3s,23sYU61n9f1CzYi8NJhAXS,1
1uNFoZAHBGtllmzznpCI3s,246dkjvS1zLTtiykXe5h60,1
1uNFoZAHBGtllmzznpCI3s,26VFTg2z8YR0cCuwLzESi2,1
1uNFoZAHBGtllmzznpCI3s,3XcCT5MPlQPWFTJyzXbfuX,1
1uNFoZAHBGtllmzznpCI3s,5gCRApTajqwbnHHPbr2Fpi,1
1uNFoZAHBGtllmzznpCI3s,6sjsQahFYXgmOmocbuHou3,1
1uNFoZAHBGtllmzznpCI3s,1vyhD5VmyZ7KMfW5gqLgo5,1
1uNFoZAHBGtllmzznpCI3s,64KEffDW9EtZ1y2vBYgq8T,1
1uNFoZAHBGtllmzznpCI3s,0a1gHP0HAqALbEyxaD5Ngn,1
1uNFoZAHBGtllmzznpCI3s,79Xp2rRN7wdsaTJgttdX3K,1
1uNFoZAHBGtllmzznpCI3s,3mH3OBKopDDVgnJcT5PrPk,1
6eUKZXaKkcviH0Ku9w2n3V,06HL4z0CvFAxyc27GXpf02,3
6eUKZXaKkcviH0Ku9w2n3V,1vSN1fsvrzpbttOYGsliDr,3
6eUKZXaKkcviH0Ku9w2n3V,6vWDO969PvNqNYHIOW5v0m,1
6eUKZXaKkcviH0Ku9w2n3V,7dGJo4pcD2V6oG8kP0tJRR,1
6eUKZXaKkcviH0Ku9w2n3V,1RyvyyTE3xzB2ZywiAwp0i,1
6eUKZXaKkcviH0Ku9w2n3V,3EA9hVIzKfFiQI0Kikz2wo,1
6eUKZXaKkcviH0Ku9w2n3V,1Xyo4u8uXC1ZmMpatF05PJ,1
6eUKZXaKkcviH0Ku9w2n3V,4WN5naL3ofxrVBgFpguzKo,1
6eUKZXaKkcviH0Ku9w2n3V,4LXBc13z5EWsc5N32bLxfH,1
7dGJo4pcD2V6oG8kP0tJRR,6DPYiyq5kWVQS4RGwxzPC7,20
7dGJo4pcD2V6oG8kP0tJRR,3q7HBObVc0L8jNeTe5Gofh,13
7dGJo4pcD2V6oG8kP0tJRR,1Oa0bMld0A3u5OTYfMzp5h,12
7dGJo4pcD2V6oG8kP0tJRR,4tujQJicOnuZRLiBFdp3Ou,8
7dGJo4pcD2V6oG8kP0tJRR,2XnnxQzxFZG8qEPjakokPM,7
7dGJo4pcD2V6oG8kP0tJRR,5pKCCKE2ajJHZ9KAiaK11H,5
7dGJo4pcD2V6oG8kP0tJRR,55Aa2cqylxrFIXC767Z865,5
7dGJo4pcD2V6oG8kP0tJRR,3vDUJHQtqT3jFRZ2ECXDTi,4
7dGJo4pcD2V6oG8kP0tJRR,2mpeljBig2IXLXRAFO9AAs,3
7dGJo4pcD2V6oG8kP0tJRR,5WUlDfRSoLAfcVSX1WnrxN,3
7dGJo4pcD2V6oG8kP0tJRR,5Qi4Bb7a8C0a00NZcA77L0,3
7dGJo4pcD2V6oG8kP0tJRR,6DVipHzYsPlIoA0DW8Gmns,3
7dGJo4pcD2V6oG8kP0tJRR,3VWX9qiAkIUd4vrUK0Q2LU,3
7dGJo4pcD2V6oG8kP0tJRR,4utLUGcTvOJFr6aqIJtYWV,2
7dGJo4pcD2V6oG8kP0tJRR,3TVXtAsR1Inumwj472S9r4,2
7dGJo4pcD2V6oG8kP0tJRR,5K4W6rqBFWDnAN6FQUkS6x,2
7dGJo4pcD2V6oG8kP0tJRR,7hJcb9fa4alzcOq3EaNPoG,2
7dGJo4pcD2V6oG8kP0tJRR,24PJqH46WhB0pUB7NlsFna,2
7dGJo4pcD2V6oG8kP0tJRR,3PDMMt0Ip2WHysoAOEAdBq,2
7dGJo4pcD2V6oG8kP0tJRR,5ndkK3dpZLKtBklKjxNQwT,2
7dGJo4pcD2V6oG8kP0tJRR,6Rx1JKzBrSzoKQtmbVmBnM,2
7dGJo4pcD2V6oG8kP0tJRR,3nFkdlSjzX9mRTtwJOzDYB,2
7dGJo4pcD2V6oG8kP0tJRR,4bYPcJP5jwMhSivRcqie2n,2
7dGJo4pcD2V6oG8kP0tJRR,0adMhStQvE8H1B0IS45CJX,2
7dGJo4pcD2V6oG8kP0tJRR,29LUur2mpi5s0OdMueyuvO,2
7dGJo4pcD2V6oG8kP0tJRR,0NHHBPPF40cVfX9u3ANdm1,2
7dGJo4pcD2V6oG8kP0tJRR,6eUKZXaKkcviH0Ku9w2n3V,1
7dGJo4pcD2V6oG8kP0tJRR,5jNmxPYz8QE5rYp4GDil8t,1
7dGJo4pcD2V6oG8kP0tJRR,1HwM5zlC5qNWhJtM00yXzG,1
7dGJo4pcD2V6oG8kP0tJRR,0z4gvV4rjIZ9wHck67ucSV,1
7dGJo4pcD2V6oG8kP0tJRR,4OBJLual30L7gRl5UkeRcT,1
7dGJo4pcD2V6oG8kP0tJRR,3ScY9CQxNLQei8Umvpx5g6,1
7dGJo4pcD2V6oG8kP0tJRR,7sfl4Xt5KmfyDs2T3SVSMK,1
7dGJo4pcD2V6oG8kP0tJRR,1wiBLzTI7z9RUwEpNPdFT6,1
7dGJo4pcD2V6oG8kP0tJRR,39mHYiNmLR7p8PXNG8Wll6,1
7dGJo4pcD2V6oG8kP0tJRR,68DWke2VjdDmA75aJX5C57,1
7dGJo4pcD2V6oG8kP0tJRR,4yiQZ8tQPux8cPriYMWUFP,1
7dGJo4pcD2V6oG8kP0tJRR,1qUjOF5fzrpoNycD36b2jZ,1
7dGJo4pcD2V6oG8kP0tJRR,4BmYRs3xOI8V1WCPDfxhQo,1
7dGJo4pcD2V6oG8kP0tJRR,1KCSPY1glIKqW2TotWuXOR,1
7dGJo4pcD2V6oG8kP0tJRR,7tT5h21rKj9yFfQuqBYLqT,1
7dGJo4pcD2V6oG8kP0tJRR,0JvIgRftY6CoKCwDpgZ4I1,1
7dGJo4pcD2V6oG8kP0tJRR,0hCNtLu0JehylgoiP8L4Gh,1
7dGJo4pcD2V6oG8kP0tJRR,5me0Irg2ANcsgc93uaYrpb,1
7dGJo4pcD2V6oG8kP0tJRR,1ZwdS5xdxEREPySFridCfh,1
7dGJo4pcD2V6oG8kP0tJRR,6Oesi698iJRUaBeT82zckf,1
7dGJo4pcD2V6oG8kP0tJRR,2TSvMFHlguDI495vujOAys,1
